id,title,released,overall,reviews,tags
2102320,MISTROGUE: Mist and the Living Dungeons,"26 Oct, 2023",Mixed,175,"JRPG, Action RPG, Mystery Dungeon, Dungeon Crawler, Character Action Game, Action Roguelike, Roguelike, Roguelite, RPG, Action, Indie, Procedural Generation, Singleplayer, PvE, 3D, Early Access, 1990's, Strategy, Top-Down, Fantasy"
541920,Help,"13 Oct, 2016",Mixed,161,"Action, Adventure, Indie, Horror, Strategy, Open World, FPS, 3D, Anime, First-Person, Memes, Psychological Horror, Thriller, Co-op Campaign, Online Co-Op, Singleplayer"
957070,iB Cricket,"25 Oct, 2020",Very Positive,109,"VR, Sports, Casual, Simulation, Indie, eSports, Singleplayer, Modern, Multiplayer, PvP, Early Access, Action, Baseball, Strategy, Free to Play, Realistic, Cricket, Physics, Competitive, 3D"
1552960,John Christian,"7 Jul, 2021",Mostly Positive,21,"Strategy, Action, Adventure, Casual, Action-Adventure, Spectacle fighter, 3D, Indie, Combat, Singleplayer, Souls-like, Faith, Hentai, Sexual Content"
2547760,Digitanks!,"26 Aug, 2023",Positive,11,"Strategy, Action, Grand Strategy, Turn-Based Strategy, Turn-Based Tactics, 3D, Colorful, Robots, Tanks, Combat, Indie, PvE, Turn-Based Combat, Singleplayer"
2066920,ColorCube,"14 Jul, 2022",Positive,10,"Puzzle, Action, 3D, Strategy, First-Person, Singleplayer, Nonlinear, Logic, Abstract, Adventure, Indie, Female Protagonist"
1037760,Hold The Fort,"5 Jun, 2019",Mostly Positive,33,"Strategy, Indie, Tower Defense, Singleplayer, Tactical, Building, Action, Fantasy, Fast-Paced, Great Soundtrack, Arcade, Addictive, 3D, Top-Down, Resource Management, Management, Difficult, Real-Time, Medieval, Survival"
1686340,AirFighter,"20 Jul, 2021",Positive,16,"Strategy, Jet, 3D, Shoot 'Em Up, Wargame, Atmospheric, Destruction, Score Attack, Survival, Indie, World War II, Simulation, Action, War, Singleplayer, Tactical, RPG, Flight, Third Person, Arcade"
1169520,Guild of Ascension,"21 Sep, 2021",Positive,37,"Tactical RPG, Roguelite, Turn-Based, Singleplayer, Indie, Medieval, Turn-Based Tactics, Tactical, Perma Death, Strategy RPG, RPG, Difficult, 3D, Turn-Based Combat, Turn-Based Strategy, Party-Based RPG, Board Game, Roguelike, Strategy, Action"
360620,Spellsworn,"13 Mar, 2018",Very Positive,1407,"Magic, Free to Play, Action, Multiplayer, Indie, Early Access, Dark Fantasy, Strategy, Online Co-Op, Fantasy, MOBA, RPG, PvP, Co-op, Action RPG, Battle Royale, eSports, RTS, Action RTS, 3D"
791770,Try To Fall Asleep,Mar 2019,Very Positive,153,"Singleplayer, First-Person, Early Access, Indie, Horror, Psychological Horror, Action-Adventure, Atmospheric, Simulation, Drama, Exploration, Psychological, 3D, Emotional, Adventure, Surreal, Dark, Gore, Action, Strategy"
2429250,Rags to Liches,"17 Jun, 2023",Positive,17,"Action, Strategy, Tower Defense, 3D, Stylized, Fantasy, Atmospheric, PvE, Singleplayer, Free to Play, Indie, Combat, Third Person, Medieval"
820600,ReThink | Evolved 2,"9 Apr, 2018",Positive,42,"Puzzle, First-Person, Logic, Singleplayer, Indie, 3D, Minimalist, Beautiful, Relaxing, Sci-fi, Linear, Casual, Strategy, Action"
252970,McDROID,"5 Sep, 2014",Mostly Positive,143,"Third-Person Shooter, Tower Defense, Cartoony, Base Building, Robots, Strategy, Action, Indie, RTS, Shooter, Funny, Character Customization, 3D, Third Person, Aliens, Singleplayer, Survival, Co-op, Multiplayer, Adventure"
820600,ReThink | Evolved 2,"9 Apr, 2018",Positive,42,"Puzzle, First-Person, Logic, Singleplayer, Indie, 3D, Minimalist, Beautiful, Relaxing, Sci-fi, Linear, Casual, Strategy, Action"
2429250,Rags to Liches,"17 Jun, 2023",Positive,17,"Action, Strategy, Tower Defense, 3D, Stylized, Fantasy, Atmospheric, PvE, Singleplayer, Free to Play, Indie, Combat, Third Person, Medieval"
1207320,Gray Zone,"16 Dec, 2022",Mixed,42,"Real-Time, Strategy, RTS, Sci-fi, Action, Real Time Tactics, Roguelike, Tactical, Indie, Shoot 'Em Up, Stealth, RPG, Adventure, 3D, Singleplayer, Top-Down, Atmospheric, Party-Based RPG, Strategy RPG, Tactical RPG"
1196500,Party Arena: Board Game Battler,"7 Jul, 2020",Mostly Positive,25,"Action, Indie, Strategy, Casual, Multiplayer, Competitive, Funny, Party, Board Game, Minigames, Turn-Based Strategy, Beat 'em up, 3D, Stylized, Top-Down, Family Friendly, Fantasy, PvP, 4 Player Local, Local Multiplayer"
980640,Empire of Ember,"20 Jan, 2022",Mixed,122,"3D, Medieval, Strategy, Open World, RPG, Action RPG, Fantasy, Action, War, Base Building, City Builder, Magic, First-Person, Procedural Generation, Singleplayer, Indie, Combat, Story Rich, Moddable, Hack and Slash"
